"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural existente, codigo fasecolda, con datos adicionales e inhabilitado vehiculo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T11:45:52.0505653-05:00[America/Bogota]","0.0","289.88"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural inexistente, código fasecolda con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T11:50:41.943722-05:00[America/Bogota]","0.0","296.79"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente, código fasecolda y sin datos adicionales - Aliado","SUCCESS","2024-03-06T11:55:38.7412283-05:00[America/Bogota]","0.0","276.37"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente, código fasecolda, con datos adicionales y vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T12:00:15.1208278-05:00[America/Bogota]","0.0","327.4"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural existente, código fasecolda y que súpere el limite de accesorios - Aliado","SUCCESS","2024-03-06T12:05:42.5279133-05:00[America/Bogota]","0.0","166.43"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural existente, código fasecolda y que súpere el limite de blindaje - Aliado","SUCCESS","2024-03-06T12:08:28.9687465-05:00[America/Bogota]","0.0","167.29"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural en inbroker con placa en fasecolda, con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T12:11:16.2749572-05:00[America/Bogota]","0.0","286.82"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente en inbroker con placa en fasecolda, con datos adicionales, vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T12:16:03.0994013-05:00[America/Bogota]","0.0","328.02"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural en inbroker, sin placa, sin código fasecolda, con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T12:21:31.1326761-05:00[America/Bogota]","0.0","319.46"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural inexistente en inbroker con marca no asegurable - Aliado","SUCCESS","2024-03-06T12:26:50.6071766-05:00[America/Bogota]","0.0","162.4"
