"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar cotizacion de vehiculo","Cotización persona juridica inexistente, codigo fasecolda y sin datos adicionales - Backoffice.","SUCCESS","2024-03-06T08:31:26.4088124-05:00[America/Bogota]","0.0","314.66"
"Realizar cotizacion de vehiculo","Cotización persona natural inexistente, codigo fasecolda con datos adicionales, con vehiculo en leasing y conductor habitual - Backoffice","SUCCESS","2024-03-06T10:49:36.4624184-05:00[America/Bogota]","0.0","382.92"
"Realizar cotizacion de vehiculo","Cotización persona juridica inexistente, codigo fasecolda y sin datos adicionales - Backoffice","SUCCESS","2024-03-06T10:55:59.39798-05:00[America/Bogota]","0.0","317.11"
"Realizar cotizacion de vehiculo","Cotización persona juridica inexistente, codigo fasecolda, con datos adicionales y vehiculo en leasing y conductor habitual - Backoffice","SUCCESS","2024-03-06T11:01:16.5161632-05:00[America/Bogota]","0.0","364.91"
"Realizar cotizacion de vehiculo","Cotización persona natural existente en inbroker, sin placa, sin codigo fasecolda, sin datos adicionales, sin vehiculo en leasing y sin conductor habitual - Backoffice","SUCCESS","2024-03-06T11:07:21.4422738-05:00[America/Bogota]","0.0","357.99"
"Realizar cotizacion de vehiculo","Cotización persona natural inexistente en inbroker con placa en fasecolda, con datos adicionales, con vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:13:19.4433819-05:00[America/Bogota]","0.0","382.48"
"Realizar cotizacion de vehiculo","Cotización persona natural en inbroker con placa en fasecolda, con datos adicionales, con vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:19:41.9315708-05:00[America/Bogota]","0.0","385.28"
"Realizar cotizacion de vehiculo","Cotización persona jurídica inexistente en inbroker con placa en fasecolda, con datos adicionales, vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:26:07.224575-05:00[America/Bogota]","0.0","383.16"
"Realizar cotizacion de vehiculo","Cotización persona natural en inbroker, sin placa, sin código fasecolda, con datos adicionales, con vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:32:30.3953764-05:00[America/Bogota]","0.0","408.21"
"Realizar cotizacion de vehiculo","Cotización persona jurídica inexistente en inbroker, sin placa, sin código fasecolda, con datos adicionales, con vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:39:18.612686-05:00[America/Bogota]","0.0","393.42"
