"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar cotizacion de vehiculo","Cotización persona juridica inexistente, codigo fasecolda y sin datos adicionales - Backoffice.","SUCCESS","2024-03-06T08:31:26.4088124-05:00[America/Bogota]","0.0","314.66"
"Realizar cotizacion de vehiculo","Cotización persona natural inexistente, codigo fasecolda con datos adicionales, con vehiculo en leasing y conductor habitual - Backoffice","SUCCESS","2024-03-06T10:49:36.4624184-05:00[America/Bogota]","0.0","382.92"
"Realizar cotizacion de vehiculo","Cotización persona juridica inexistente, codigo fasecolda y sin datos adicionales - Backoffice","SUCCESS","2024-03-06T10:55:59.39798-05:00[America/Bogota]","0.0","317.11"
"Realizar cotizacion de vehiculo","Cotización persona juridica inexistente, codigo fasecolda, con datos adicionales y vehiculo en leasing y conductor habitual - Backoffice","SUCCESS","2024-03-06T11:01:16.5161632-05:00[America/Bogota]","0.0","364.91"
"Realizar cotizacion de vehiculo","Cotización persona natural existente en inbroker, sin placa, sin codigo fasecolda, sin datos adicionales, sin vehiculo en leasing y sin conductor habitual - Backoffice","SUCCESS","2024-03-06T11:07:21.4422738-05:00[America/Bogota]","0.0","357.99"
"Realizar cotizacion de vehiculo","Cotización persona natural inexistente en inbroker con placa en fasecolda, con datos adicionales, con vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:13:19.4433819-05:00[America/Bogota]","0.0","382.48"
"Realizar cotizacion de vehiculo","Cotización persona natural en inbroker con placa en fasecolda, con datos adicionales, con vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:19:41.9315708-05:00[America/Bogota]","0.0","385.28"
"Realizar cotizacion de vehiculo","Cotización persona jurídica inexistente en inbroker con placa en fasecolda, con datos adicionales, vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:26:07.224575-05:00[America/Bogota]","0.0","383.16"
"Realizar cotizacion de vehiculo","Cotización persona natural en inbroker, sin placa, sin código fasecolda, con datos adicionales, con vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:32:30.3953764-05:00[America/Bogota]","0.0","408.21"
"Realizar cotizacion de vehiculo","Cotización persona jurídica inexistente en inbroker, sin placa, sin código fasecolda, con datos adicionales, con vehículo en leasing y conductor habitual - BackOffice","SUCCESS","2024-03-06T11:39:18.612686-05:00[America/Bogota]","0.0","393.42"
"Realizar cotizacion de vehiculo","Cotización persona natural existente, codigo fasecolda, con datos adicionales, con vehiculo en leasing y conductor habitual - Backoffice","FAILURE","2024-03-08T15:27:52.404029-05:00[America/Bogota]","0.0","109.4"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural existente, codigo fasecolda, con datos adicionales e inhabilitado vehiculo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T11:45:52.0505653-05:00[America/Bogota]","0.0","289.88"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural inexistente, código fasecolda con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T11:50:41.943722-05:00[America/Bogota]","0.0","296.79"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente, código fasecolda y sin datos adicionales - Aliado","SUCCESS","2024-03-06T11:55:38.7412283-05:00[America/Bogota]","0.0","276.37"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente, código fasecolda, con datos adicionales y vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T12:00:15.1208278-05:00[America/Bogota]","0.0","327.4"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural existente, código fasecolda y que súpere el limite de accesorios - Aliado","SUCCESS","2024-03-06T12:05:42.5279133-05:00[America/Bogota]","0.0","166.43"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural existente, código fasecolda y que súpere el limite de blindaje - Aliado","SUCCESS","2024-03-06T12:08:28.9687465-05:00[America/Bogota]","0.0","167.29"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural en inbroker con placa en fasecolda, con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T12:11:16.2749572-05:00[America/Bogota]","0.0","286.82"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente en inbroker con placa en fasecolda, con datos adicionales, vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T12:16:03.0994013-05:00[America/Bogota]","0.0","328.02"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural en inbroker, sin placa, sin código fasecolda, con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Aliado","SUCCESS","2024-03-06T12:21:31.1326761-05:00[America/Bogota]","0.0","319.46"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona natural inexistente en inbroker con marca no asegurable - Aliado","SUCCESS","2024-03-06T12:26:50.6071766-05:00[America/Bogota]","0.0","162.4"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona natural inexistente, código fasecolda con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Intermediario","SUCCESS","2024-03-06T12:34:26.4780129-05:00[America/Bogota]","0.0","298.58"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona jurídica inexistente, código fasecolda y sin datos adicionales - Intermediario","SUCCESS","2024-03-06T12:39:25.0645112-05:00[America/Bogota]","0.0","280.65"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona jurídica inexistente, código fasecolda, con datos adicionales y vehículo en leasing y conductor habitual - Intermediario","SUCCESS","2024-03-06T12:44:05.7270148-05:00[America/Bogota]","0.0","332.38"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona natural existente, código fasecolda y que súpere el limite de accesorios - Intermediario","SUCCESS","2024-03-06T12:49:38.1166085-05:00[America/Bogota]","0.0","168.79"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona natural existente, código fasecolda y que súpere el limite de blindaje - Intermediario","SUCCESS","2024-03-06T12:52:26.9138762-05:00[America/Bogota]","0.0","168.54"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona natural en inbroker con placa en fasecolda, con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Intermediario","SUCCESS","2024-03-06T12:55:15.4650483-05:00[America/Bogota]","0.0","289.04"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona jurídica inexistente en inbroker con placa en fasecolda, con datos adicionales, vehículo en leasing y conductor habitual - Intermediario","SUCCESS","2024-03-06T13:00:04.5169263-05:00[America/Bogota]","0.0","331.28"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona natural en inbroker, sin placa, sin código fasecolda, con datos adicionales e inhabilitado vehículo en leasing y conductor habitual - Intermediario","SUCCESS","2024-03-06T13:05:35.813722-05:00[America/Bogota]","0.0","319.57"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona natural inexistente en inbroker con marca no asegurable - Intermediario","SUCCESS","2024-03-07T08:07:18.2664471-05:00[America/Bogota]","0.0","185.69"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona natural existente, codigo fasecolda, con datos adicionales e inhabilitado vehiculo en leasing y conductor habitual - Intermediario","FAILURE","2024-03-08T15:20:54.8317676-05:00[America/Bogota]","0.0","180.87"
